fs_method,top_k,n_past,activation,DIR_ACC,MAE,RMSE
rf,3,20,relu,0.625,0.007041838763043207,0.007041838763043207
corr,5,40,selu,0.625,0.007122894593241502,0.007122894593241502
rf,5,20,selu,0.625,0.00712888599563577,0.00712888599563577
corr,5,10,relu,0.625,0.007163401126979163,0.007163401126979163
corr,3,40,tanh,0.625,0.007166462500697246,0.007166462500697246
manual,3,10,relu,0.625,0.007418440149824013,0.007418440149824013
rf,10,20,tanh,0.625,0.007605603285489926,0.007605603285489926
corr,3,60,selu,0.625,0.00765596527328305,0.00765596527328305
corr,10,10,relu,0.625,0.007802469644997756,0.007802469644997756
corr,5,20,tanh,0.625,0.007882904861863604,0.007882904861863604
manual,3,60,selu,0.625,0.007917683647701068,0.007917683647701068
corr,5,10,selu,0.625,0.007918906529373992,0.007918906529373992
mi,5,40,selu,0.625,0.008142229363049258,0.008142229363049258
corr,10,10,selu,0.625,0.008284676196044338,0.008284676196044338
rf,5,40,relu,0.625,0.00844848430200884,0.00844848430200884
corr,10,60,relu,0.625,0.010294890675387247,0.010294890675387247
rf,5,10,relu,0.5,0.004818633999971567,0.004818633999971567
corr,3,40,selu,0.5,0.00513116472656272,0.00513116472656272
mi,3,10,relu,0.5,0.005532569679134625,0.005532569679134625
rf,3,10,tanh,0.5,0.005596178803271512,0.005596178803271512
mi,5,20,tanh,0.5,0.005632811303757923,0.005632811303757923
corr,3,60,relu,0.5,0.005660894112627601,0.005660894112627601
manual,3,20,relu,0.5,0.006030615001956008,0.006030615001956008
mi,10,60,relu,0.5,0.006454927904614272,0.006454927904614272
corr,3,20,tanh,0.5,0.006521019026959285,0.006521019026959285
rf,10,60,relu,0.5,0.006541926511468399,0.006541926511468399
manual,3,20,tanh,0.5,0.006551341489567319,0.006551341489567319
rf,3,20,selu,0.5,0.006840561473422602,0.006840561473422602
rf,3,60,selu,0.5,0.006844001116245613,0.006844001116245613
rf,5,60,selu,0.5,0.00717057570504942,0.00717057570504942
corr,3,60,tanh,0.5,0.007234703056287817,0.007234703056287817
mi,10,20,selu,0.5,0.0072839867593056384,0.0072839867593056384
manual,3,10,selu,0.5,0.007513952343014552,0.007513952343014552
mi,3,40,selu,0.5,0.007690371527221629,0.007690371527221629
