fs_method,top_k,n_past,activation,DIR_ACC,MAE,RMSE
rf,5,20,tanh,0.5555555555555556,0.0055048388468244,0.0055048388468244
mi,5,10,selu,0.5555555555555556,0.005514376581374103,0.005514376581374103
rf,3,60,selu,0.5555555555555556,0.00552550483613512,0.00552550483613512
rf,5,10,tanh,0.5555555555555556,0.005783617808834185,0.005783617808834185
corr,10,40,selu,0.5555555555555556,0.0058073622865848495,0.0058073622865848495
corr,10,60,relu,0.5555555555555556,0.0060982758459050546,0.0060982758459050546
rf,5,20,selu,0.5555555555555556,0.006257922992719989,0.006257922992719989
mi,5,40,relu,0.5555555555555556,0.006292774557408398,0.006292774557408398
mi,5,60,tanh,0.5555555555555556,0.006389927723123412,0.006389927723123412
corr,3,40,selu,0.5555555555555556,0.0064438991994012484,0.0064438991994012484
rf,10,60,relu,0.5555555555555556,0.00645297551816193,0.00645297551816193
mi,3,10,selu,0.5555555555555556,0.006491762194817174,0.006491762194817174
rf,3,60,tanh,0.5555555555555556,0.006600975197418313,0.006600975197418313
mi,5,20,relu,0.5555555555555556,0.0067177608888943086,0.0067177608888943086
rf,10,60,selu,0.5555555555555556,0.006956101119718783,0.006956101119718783
manual,3,20,relu,0.5555555555555556,0.007251469265088906,0.007251469265088906
manual,3,60,selu,0.5555555555555556,0.00747634624005733,0.00747634624005733
mi,5,10,tanh,0.5555555555555556,0.007509316164419522,0.007509316164419522
manual,3,60,tanh,0.5555555555555556,0.007588998526559365,0.007588998526559365
corr,10,60,tanh,0.5555555555555556,0.007781471665983308,0.007781471665983308
mi,3,60,selu,0.5555555555555556,0.007842180973941959,0.007842180973941959
corr,5,20,selu,0.5555555555555556,0.007968956859993215,0.007968956859993215
mi,10,20,tanh,0.5555555555555556,0.008002221722765546,0.008002221722765546
manual,3,20,selu,0.5555555555555556,0.00831745625348268,0.00831745625348268
rf,3,10,relu,0.5555555555555556,0.008867610436133377,0.008867610436133377
corr,5,60,selu,0.5555555555555556,0.009446599600255956,0.009446599600255956
mi,3,20,relu,0.5555555555555556,0.010886287978269626,0.010886287978269626
mi,10,10,selu,0.4444444444444444,0.005097496107879573,0.005097496107879573
rf,3,20,relu,0.4444444444444444,0.005104362637414317,0.005104362637414317
corr,5,10,relu,0.4444444444444444,0.005231537994607072,0.005231537994607072
mi,10,10,relu,0.4444444444444444,0.005320400656235624,0.005320400656235624
corr,3,20,tanh,0.4444444444444444,0.005426357845069063,0.005426357845069063
rf,3,40,selu,0.4444444444444444,0.005435583371869557,0.005435583371869557
rf,3,10,selu,0.4444444444444444,0.005760404005847208,0.005760404005847208
rf,10,10,relu,0.4444444444444444,0.005771800600958277,0.005771800600958277
