fs_method,top_k,n_past,activation,DIR_ACC,MAE,RMSE
rf,3,20,tanh,1.0,0.0033063503435390995,0.0033063503435390995
rf,5,10,relu,1.0,0.0034025971324604942,0.0034025971324604942
mi,3,60,selu,1.0,0.0034785295358437107,0.0034785295358437107
mi,5,20,relu,1.0,0.0034914583445948555,0.0034914583445948555
corr,10,60,selu,1.0,0.0035189745469528244,0.0035189745469528244
rf,3,20,selu,1.0,0.003657151617719512,0.003657151617719512
corr,5,40,selu,1.0,0.003878473908318858,0.003878473908318858
mi,3,20,selu,1.0,0.003897088718278985,0.003897088718278985
corr,3,60,selu,1.0,0.0039469093537467526,0.0039469093537467526
corr,3,40,relu,1.0,0.003989756711437087,0.003989756711437087
mi,5,40,tanh,1.0,0.004018757165088038,0.004018757165088038
corr,3,60,tanh,1.0,0.004073283773525338,0.004073283773525338
mi,3,40,tanh,1.0,0.004106768545373063,0.004106768545373063
mi,3,40,relu,1.0,0.004226108685745578,0.004226108685745578
mi,10,20,tanh,1.0,0.004258263063295464,0.004258263063295464
corr,10,20,relu,1.0,0.004290447431938071,0.004290447431938071
corr,3,40,tanh,1.0,0.004376445104046445,0.004376445104046445
corr,3,60,relu,1.0,0.00440600016029058,0.00440600016029058
corr,10,40,selu,1.0,0.0044316618225115345,0.0044316618225115345
mi,10,60,relu,1.0,0.004491633874042611,0.004491633874042611
rf,3,10,relu,1.0,0.004534666099264006,0.004534666099264006
mi,5,20,tanh,1.0,0.0047911239309745834,0.0047911239309745834
corr,10,10,relu,1.0,0.004865620423718076,0.004865620423718076
manual,3,10,selu,1.0,0.004899302635951619,0.004899302635951619
rf,3,10,tanh,1.0,0.005094925545765738,0.005094925545765738
mi,5,60,selu,1.0,0.005200849984450917,0.005200849984450917
rf,10,40,tanh,1.0,0.005558944445713143,0.005558944445713143
corr,3,20,relu,1.0,0.005563015911118407,0.005563015911118407
corr,5,10,tanh,1.0,0.005701334819807391,0.005701334819807391
rf,5,20,relu,1.0,0.005742137458785157,0.005742137458785157
rf,5,40,selu,1.0,0.005835273441537003,0.005835273441537003
manual,3,20,selu,1.0,0.0058468418648975895,0.0058468418648975895
corr,5,40,relu,1.0,0.00585960470946012,0.00585960470946012
mi,5,10,relu,1.0,0.0058763349881905125,0.0058763349881905125
corr,5,20,relu,1.0,0.005905729391290526,0.005905729391290526
rf,5,20,selu,1.0,0.006061030690236668,0.006061030690236668
rf,5,60,tanh,1.0,0.006233616404845099,0.006233616404845099
manual,3,10,tanh,1.0,0.006276685882969479,0.006276685882969479
rf,10,10,tanh,1.0,0.006333676305277924,0.006333676305277924
rf,10,40,relu,1.0,0.006517041613026242,0.006517041613026242
manual,3,60,tanh,1.0,0.006605274880914669,0.006605274880914669
rf,5,60,selu,1.0,0.006641753156347852,0.006641753156347852
corr,10,10,selu,1.0,0.006643502645804267,0.006643502645804267
corr,5,20,tanh,1.0,0.006704435356571059,0.006704435356571059
manual,3,40,tanh,1.0,0.006717284814133029,0.006717284814133029
mi,10,60,tanh,1.0,0.006718713928623776,0.006718713928623776
mi,10,40,selu,1.0,0.006737575306235533,0.006737575306235533
mi,10,40,tanh,1.0,0.006760169424726348,0.006760169424726348
manual,3,60,relu,1.0,0.006793999018757324,0.006793999018757324
corr,5,60,selu,1.0,0.006865773255615215,0.006865773255615215
mi,5,60,tanh,1.0,0.006917010665549617,0.006917010665549617
mi,3,20,tanh,1.0,0.007088770762695651,0.007088770762695651
rf,10,60,tanh,1.0,0.007278862547739129,0.007278862547739129
rf,5,10,selu,1.0,0.007431588972597103,0.007431588972597103
mi,10,10,relu,1.0,0.007587444641305785,0.007587444641305785
corr,5,20,selu,1.0,0.00799500234299777,0.00799500234299777
mi,3,40,selu,1.0,0.008022696849568467,0.008022696849568467
rf,5,10,tanh,1.0,0.008522972253760974,0.008522972253760974
corr,10,40,relu,1.0,0.00859066857831059,0.00859066857831059
manual,3,40,relu,1.0,0.00859185124156503,0.00859185124156503
rf,5,60,relu,1.0,0.008607386284186225,0.008607386284186225
mi,3,60,tanh,1.0,0.008792131346328835,0.008792131346328835
rf,3,40,selu,1.0,0.009080262760310154,0.009080262760310154
mi,3,10,relu,1.0,0.0093297105270016,0.0093297105270016
mi,10,60,selu,1.0,0.009481549867107253,0.009481549867107253
corr,3,40,selu,1.0,0.009601826394120883,0.009601826394120883
mi,5,10,tanh,1.0,0.009664520934368204,0.009664520934368204
rf,5,40,relu,1.0,0.009704017684473376,0.009704017684473376
rf,10,60,selu,1.0,0.009746889955042581,0.009746889955042581
mi,3,10,selu,1.0,0.01004115651469184,0.01004115651469184
rf,5,20,tanh,1.0,0.01006583272121353,0.01006583272121353
mi,5,60,relu,1.0,0.02250787136270227,0.02250787136270227
rf,10,20,relu,0.0,0.010355479411575663,0.010355479411575663
rf,10,40,selu,0.0,0.01052234874098068,0.01052234874098068
corr,10,20,selu,0.0,0.010694256772896926,0.010694256772896926
mi,10,10,selu,0.0,0.010703607367961387,0.010703607367961387
rf,3,40,relu,0.0,0.011257189697264414,0.011257189697264414
mi,3,10,tanh,0.0,0.01189378162255017,0.01189378162255017
corr,3,10,tanh,0.0,0.012595347267253976,0.012595347267253976
mi,3,60,relu,0.0,0.012696577607332449,0.012696577607332449
mi,5,40,relu,0.0,0.013589233065633755,0.013589233065633755
mi,10,40,relu,0.0,0.01407595667862771,0.01407595667862771
mi,10,10,tanh,0.0,0.014127760798348765,0.014127760798348765
corr,10,60,tanh,0.0,0.014282138225300889,0.014282138225300889
corr,5,60,relu,0.0,0.016485650696470122,0.016485650696470122
manual,3,60,selu,0.0,0.017681664460017066,0.017681664460017066
corr,10,40,tanh,0.0,0.017740121249719243,0.017740121249719243
corr,10,60,relu,0.0,0.024992832121117692,0.024992832121117692
rf,3,60,selu,0.0,0.02521244170950232,0.02521244170950232
