fs_method,top_k,n_past,activation,RMSE,MAE,MAPE,DIR_ACC
corr,5,20,tanh,0.019047727202100465,0.012864569233874907,166.0360832338554,52.63157894736842
rf,5,10,relu,0.019128012417015602,0.012617987751188643,193.2124842900704,52.63157894736842
corr,5,60,relu,0.01931296693617572,0.014102348496943895,170.1275340683105,52.63157894736842
rf,5,40,tanh,0.01950904947273764,0.012325731245964174,146.1740489447195,52.63157894736842
corr,5,40,tanh,0.01952560478245558,0.012669309725619632,175.7469720925404,52.63157894736842
mi,3,40,tanh,0.019536210678870018,0.014767182536225273,206.46267445026027,52.63157894736842
mi,10,40,selu,0.01956520344995067,0.01423908491268409,281.74880722822894,52.63157894736842
mi,5,40,relu,0.019635107294398803,0.013525890384830132,179.3316347200528,52.63157894736842
rf,10,10,tanh,0.01964575218332963,0.012187335696583897,146.43664173251307,52.63157894736842
rf,3,20,tanh,0.019652456129567862,0.012777740044646624,159.35809932908188,52.63157894736842
rf,3,60,selu,0.01967822710642576,0.012347088902459785,143.91452852656926,52.63157894736842
corr,5,40,selu,0.019707264902306124,0.012959656261767061,155.81419204970567,52.63157894736842
corr,10,10,tanh,0.019743865744073486,0.012214908541939129,153.20845879552414,52.63157894736842
rf,5,20,tanh,0.01977911166953799,0.013312895419291596,134.19251271587734,52.63157894736842
corr,10,60,tanh,0.019862449575203747,0.012450280993883421,131.541528716095,52.63157894736842
rf,3,40,relu,0.020116926384727157,0.013626628888132927,136.08941510696803,52.63157894736842
corr,5,10,selu,0.020142930528194807,0.013207598812181186,183.5695677393033,52.63157894736842
rf,10,40,relu,0.020280305856092203,0.01270294711020511,158.38650416850774,52.63157894736842
manual,3,10,relu,0.020307662326300817,0.013546507423430046,139.24497594044695,52.63157894736842
mi,5,20,relu,0.020447861800259988,0.013169999782976385,163.05430872620306,52.63157894736842
mi,3,20,relu,0.02059324076172199,0.015032183870537622,144.73556288113613,52.63157894736842
rf,5,60,tanh,0.02074315296091178,0.01519575519111095,165.0044954282617,52.63157894736842
corr,3,10,tanh,0.020761360411040503,0.012831395345964646,155.38460830840677,52.63157894736842
rf,5,60,selu,0.02088199215995002,0.012982396068289504,208.96124596764395,52.63157894736842
corr,3,40,tanh,0.021107704719061045,0.015827041876773983,160.36080521699057,52.63157894736842
rf,10,10,selu,0.02123925858207202,0.01533766540057221,187.96619604327887,52.63157894736842
corr,10,40,relu,0.021364998606121337,0.01616479704168303,203.93118532408815,52.63157894736842
corr,10,10,selu,0.021599394971778433,0.017095132847726215,300.03503439577645,52.63157894736842
mi,3,60,relu,0.021636215444750598,0.01702937993801069,183.74329394884384,52.63157894736842
mi,3,60,selu,0.02172408394748039,0.016551707603230815,167.46625127921521,52.63157894736842
rf,5,40,selu,0.022486793553640905,0.01457803387218917,240.01373786946237,52.63157894736842
mi,10,20,relu,0.019295796416354493,0.012476912125227847,205.35445525712282,50.0
corr,10,10,relu,0.019303938172096635,0.013216905180303972,214.84294287574008,50.0
rf,5,20,relu,0.01935237635354401,0.014698097327857535,159.9820917973986,50.0
corr,3,60,tanh,0.01943873029314298,0.012442747532666361,170.9600680564969,50.0
mi,5,40,selu,0.01951953254547666,0.013823530391898396,210.0261445384335,50.0
rf,3,60,tanh,0.020143492704072934,0.012533173348665739,171.01429998934321,50.0
corr,5,60,selu,0.02015742265049993,0.013761012282934278,165.98858259957882,50.0
mi,5,10,tanh,0.02074086023645393,0.012689904454036484,149.38505565153358,50.0
