fs_method,top_k,n_past,activation,DIR_ACC,MAE,RMSE
corr,10,40,relu,0.0,0.0027670330826439216,0.0027670330826439216
mi,5,10,selu,0.0,0.0027925637339720755,0.0027925637339720755
rf,10,60,relu,0.0,0.0028137733541442334,0.0028137733541442334
mi,10,60,tanh,0.0,0.0028143958705257877,0.0028143958705257877
corr,3,60,selu,0.0,0.002832031496662113,0.002832031496662113
corr,5,10,selu,0.0,0.002891881297553356,0.002891881297553356
mi,3,60,relu,0.0,0.002893499848876546,0.002893499848876546
rf,3,20,tanh,0.0,0.0029829230268731965,0.0029829230268731965
mi,5,20,relu,0.0,0.0029996285382438703,0.0029996285382438703
rf,5,20,tanh,0.0,0.003007516229270424,0.003007516229270424
rf,10,10,relu,0.0,0.0030166270087719216,0.0030166270087719216
mi,10,40,tanh,0.0,0.003093526517484735,0.003093526517484735
mi,10,20,selu,0.0,0.0031110083444290115,0.0031110083444290115
mi,10,40,relu,0.0,0.0031117480473839,0.0031117480473839
corr,5,10,tanh,0.0,0.0031137987032778813,0.0031137987032778813
rf,3,60,tanh,0.0,0.003137630258432056,0.003137630258432056
mi,5,20,selu,0.0,0.0031839603550978257,0.0031839603550978257
corr,5,10,relu,0.0,0.0031854983761221423,0.0031854983761221423
manual,3,60,selu,0.0,0.003241598395841594,0.003241598395841594
manual,3,40,selu,0.0,0.003312338631811018,0.003312338631811018
mi,10,10,selu,0.0,0.003312660927629496,0.003312660927629496
rf,10,20,selu,0.0,0.0033214860239312305,0.0033214860239312305
rf,10,10,tanh,0.0,0.0034128280465737237,0.0034128280465737237
corr,3,20,tanh,0.0,0.003427651325917269,0.003427651325917269
rf,3,20,selu,0.0,0.0034848279545329763,0.0034848279545329763
mi,5,10,relu,0.0,0.0035104025380932047,0.0035104025380932047
manual,3,40,relu,0.0,0.0035214028546832754,0.0035214028546832754
corr,10,40,tanh,0.0,0.003548962203065331,0.003548962203065331
rf,5,20,selu,0.0,0.0036000234766178085,0.0036000234766178085
corr,3,20,relu,0.0,0.003652644715482767,0.003652644715482767
rf,5,60,selu,0.0,0.003657405170822914,0.003657405170822914
mi,5,60,tanh,0.0,0.003814961318137522,0.003814961318137522
manual,3,10,relu,0.0,0.003857995755250032,0.003857995755250032
mi,5,40,tanh,0.0,0.0038695160990827038,0.0038695160990827038
rf,10,40,selu,0.0,0.003914183726745124,0.003914183726745124
manual,3,10,tanh,0.0,0.003932331944095369,0.003932331944095369
manual,3,20,selu,0.0,0.003945544035384829,0.003945544035384829
rf,5,60,tanh,0.0,0.004068832284981783,0.004068832284981783
mi,3,40,selu,0.0,0.004092121868605192,0.004092121868605192
corr,10,20,selu,0.0,0.004280247398863013,0.004280247398863013
rf,3,10,selu,0.0,0.004310128418008263,0.004310128418008263
rf,3,40,relu,0.0,0.0044566110234953715,0.0044566110234953715
corr,3,40,tanh,0.0,0.0045487806426607325,0.0045487806426607325
mi,3,10,selu,0.0,0.0049287448862813665,0.0049287448862813665
manual,3,40,tanh,0.0,0.004987422865095015,0.004987422865095015
rf,3,20,relu,0.0,0.005025059705811019,0.005025059705811019
mi,3,10,tanh,0.0,0.005031160334336038,0.005031160334336038
