ticker,fs_method,top_k,n_past,activation,MAE,RMSE,MAPE,n_features,features
AAPL,corr,5,40,selu,0.010675808873443804,0.015278815117996293,129.84204052016392,6,"['returns', 'PCT_change', 'weighted_tech_sentiment', 'ADI', '%K_14', 'RSI_14', 'MACD(12,26,9)']"
AAPL,corr,5,60,tanh,0.01072429298160375,0.015141364287999347,116.64658612571512,6,"['returns', 'PCT_change', 'weighted_tech_sentiment', 'ADI', '%K_14', 'RSI_14', 'MACD(12,26,9)']"
AAPL,corr,5,60,relu,0.010677153782347801,0.01529681315361267,132.05926487169967,6,"['returns', 'PCT_change', 'weighted_tech_sentiment', 'ADI', '%K_14', 'RSI_14', 'MACD(12,26,9)']"
AAPL,corr,5,60,selu,0.01150593305435404,0.015766472931014446,161.2168915436079,6,"['returns', 'PCT_change', 'weighted_tech_sentiment', 'ADI', '%K_14', 'RSI_14', 'MACD(12,26,9)']"
AAPL,corr,10,10,tanh,0.01126820183779674,0.01565054149994607,136.84121967282636,11,"['returns', 'PCT_change', 'weighted_tech_sentiment', 'ADI', '%K_14', 'RSI_14', 'MACD(12,26,9)', '%D', 'pe', 'evebitda_x', 'pb', 'evebit_x']"
AAPL,corr,10,10,relu,0.0123240931987082,0.016702941213712415,157.69408215361364,11,"['returns', 'PCT_change', 'weighted_tech_sentiment', 'ADI', '%K_14', 'RSI_14', 'MACD(12,26,9)', '%D', 'pe', 'evebitda_x', 'pb', 'evebit_x']"
AAPL,corr,10,10,selu,0.011655687456096636,0.016098649448252043,204.06733650377126,11,"['returns', 'PCT_change', 'weighted_tech_sentiment', 'ADI', '%K_14', 'RSI_14', 'MACD(12,26,9)', '%D', 'pe', 'evebitda_x', 'pb', 'evebit_x']"
AAPL,corr,10,20,tanh,0.010671244084618938,0.015321462425161955,98.17620275810415,11,"['returns', 'PCT_change', 'weighted_tech_sentiment', 'ADI', '%K_14', 'RSI_14', 'MACD(12,26,9)', '%D', 'pe', 'evebitda_x', 'pb', 'evebit_x']"
AAPL,corr,10,20,relu,0.013027426655188462,0.017570306050074747,266.8052613623538,11,"['returns', 'PCT_change', 'weighted_tech_sentiment', 'ADI', '%K_14', 'RSI_14', 'MACD(12,26,9)', '%D', 'pe', 'evebitda_x', 'pb', 'evebit_x']"
AAPL,corr,10,20,selu,0.01100703886321046,0.015401590107570536,114.75699878600412,11,"['returns', 'PCT_change', 'weighted_tech_sentiment', 'ADI', '%K_14', 'RSI_14', 'MACD(12,26,9)', '%D', 'pe', 'evebitda_x', 'pb', 'evebit_x']"
AAPL,corr,10,40,tanh,0.011077110604790006,0.015472384241799036,112.00007433739697,11,"['returns', 'PCT_change', 'weighted_tech_sentiment', 'ADI', '%K_14', 'RSI_14', 'MACD(12,26,9)', '%D', 'pe', 'evebitda_x', 'pb', 'evebit_x']"
AAPL,corr,10,40,relu,0.011083966402323052,0.015506619903544013,115.36874770663292,11,"['returns', 'PCT_change', 'weighted_tech_sentiment', 'ADI', '%K_14', 'RSI_14', 'MACD(12,26,9)', '%D', 'pe', 'evebitda_x', 'pb', 'evebit_x']"
AAPL,corr,10,40,selu,0.02300045661098814,0.02949685461379642,489.82771502027134,11,"['returns', 'PCT_change', 'weighted_tech_sentiment', 'ADI', '%K_14', 'RSI_14', 'MACD(12,26,9)', '%D', 'pe', 'evebitda_x', 'pb', 'evebit_x']"
AAPL,corr,10,60,tanh,0.011630685862827903,0.015938438027858312,165.28980324930237,11,"['returns', 'PCT_change', 'weighted_tech_sentiment', 'ADI', '%K_14', 'RSI_14', 'MACD(12,26,9)', '%D', 'pe', 'evebitda_x', 'pb', 'evebit_x']"
AAPL,corr,10,60,relu,0.012676666784364039,0.01668906695261822,247.12100753687128,11,"['returns', 'PCT_change', 'weighted_tech_sentiment', 'ADI', '%K_14', 'RSI_14', 'MACD(12,26,9)', '%D', 'pe', 'evebitda_x', 'pb', 'evebit_x']"
AAPL,corr,10,60,selu,0.011374190179770042,0.01569536337441541,129.03854285793503,11,"['returns', 'PCT_change', 'weighted_tech_sentiment', 'ADI', '%K_14', 'RSI_14', 'MACD(12,26,9)', '%D', 'pe', 'evebitda_x', 'pb', 'evebit_x']"
AAPL,rf,3,10,tanh,0.011064828459263688,0.0156410398252061,122.2386494237433,4,"['returns', 'PCT_change', 'weighted_tech_sentiment', 'Volume', 'Return_lag1']"
AAPL,rf,3,10,relu,0.010669330655054696,0.014934480158689502,138.8099724511727,4,"['returns', 'PCT_change', 'weighted_tech_sentiment', 'Volume', 'Return_lag1']"
AAPL,rf,3,10,selu,0.010608169875685547,0.014890101269205813,128.83952173210153,4,"['returns', 'PCT_change', 'weighted_tech_sentiment', 'Volume', 'Return_lag1']"
AAPL,rf,3,20,tanh,0.010652832896135018,0.015083983735239188,134.77215023302767,4,"['returns', 'PCT_change', 'weighted_tech_sentiment', 'Volume', 'Return_lag1']"
AAPL,rf,3,20,relu,0.0113012439503043,0.015752842478467383,132.19401340081623,4,"['returns', 'PCT_change', 'weighted_tech_sentiment', 'Volume', 'Return_lag1']"
AAPL,rf,3,20,selu,0.010784589704143793,0.01532144235424028,97.42001390706594,4,"['returns', 'PCT_change', 'weighted_tech_sentiment', 'Volume', 'Return_lag1']"
AAPL,rf,3,40,tanh,0.010716821630636092,0.015519732952431257,120.37240251290795,4,"['returns', 'PCT_change', 'weighted_tech_sentiment', 'Volume', 'Return_lag1']"
AAPL,rf,3,40,relu,0.010693084080342802,0.01581842912874144,123.10398093058272,4,"['returns', 'PCT_change', 'weighted_tech_sentiment', 'Volume', 'Return_lag1']"
AAPL,rf,3,40,selu,0.01188089702371945,0.01566512782324537,169.40405864187417,4,"['returns', 'PCT_change', 'weighted_tech_sentiment', 'Volume', 'Return_lag1']"
AAPL,rf,3,60,tanh,0.010790373579289905,0.015322145309379143,100.25072857314406,4,"['returns', 'PCT_change', 'weighted_tech_sentiment', 'Volume', 'Return_lag1']"
AAPL,rf,3,60,relu,0.012125248315423852,0.016578957146165422,189.51251317599625,4,"['returns', 'PCT_change', 'weighted_tech_sentiment', 'Volume', 'Return_lag1']"
AAPL,rf,3,60,selu,0.011084151148829883,0.015451093830148237,149.15004746586007,4,"['returns', 'PCT_change', 'weighted_tech_sentiment', 'Volume', 'Return_lag1']"
AAPL,rf,5,10,tanh,0.010705484381643635,0.015494068386410279,110.00357935890182,6,"['returns', 'PCT_change', 'weighted_tech_sentiment', 'Volume', 'Return_lag1', 'HL_PCT', '%K_14']"
AAPL,rf,5,10,relu,0.011071192292099873,0.015613612083086637,182.1254930217978,6,"['returns', 'PCT_change', 'weighted_tech_sentiment', 'Volume', 'Return_lag1', 'HL_PCT', '%K_14']"
AAPL,rf,5,10,selu,0.010738224934049566,0.01521029416564517,102.71645473129584,6,"['returns', 'PCT_change', 'weighted_tech_sentiment', 'Volume', 'Return_lag1', 'HL_PCT', '%K_14']"
AAPL,rf,5,20,tanh,0.011007369946421985,0.015266170329874672,128.73381219062628,6,"['returns', 'PCT_change', 'weighted_tech_sentiment', 'Volume', 'Return_lag1', 'HL_PCT', '%K_14']"
AAPL,rf,5,20,relu,0.010991863687271649,0.015682826113935445,127.48372173877023,6,"['returns', 'PCT_change', 'weighted_tech_sentiment', 'Volume', 'Return_lag1', 'HL_PCT', '%K_14']"
AAPL,rf,5,20,selu,0.01075591874985037,0.015114439546616346,118.33580904889212,6,"['returns', 'PCT_change', 'weighted_tech_sentiment', 'Volume', 'Return_lag1', 'HL_PCT', '%K_14']"
AAPL,rf,5,40,tanh,0.010946918071312274,0.015326655469788454,108.68010210380923,6,"['returns', 'PCT_change', 'weighted_tech_sentiment', 'Volume', 'Return_lag1', 'HL_PCT', '%K_14']"
