ticker,fs_method,top_k,n_past,activation,DIR_ACC,MAE,RMSE,n_features
NVDA,manual,3,10,tanh,1.0,0.006276685882969479,0.006276685882969479,2
NVDA,manual,3,10,relu,1.0,0.0029138225583869026,0.0029138225583869026,2
NVDA,manual,3,10,selu,1.0,0.004899302635951619,0.004899302635951619,2
NVDA,manual,3,20,tanh,1.0,0.0024803624035281135,0.0024803624035281135,2
NVDA,manual,3,20,relu,1.0,0.0007603030173617409,0.0007603030173617409,2
NVDA,manual,3,20,selu,1.0,0.0058468418648975895,0.0058468418648975895,2
NVDA,manual,3,40,tanh,1.0,0.006717284814133029,0.006717284814133029,2
NVDA,manual,3,40,relu,1.0,0.00859185124156503,0.00859185124156503,2
NVDA,manual,3,40,selu,1.0,0.002723521225764136,0.002723521225764136,2
NVDA,manual,3,60,tanh,1.0,0.006605274880914669,0.006605274880914669,2
NVDA,manual,3,60,relu,1.0,0.006793999018757324,0.006793999018757324,2
NVDA,manual,3,60,selu,0.0,0.017681664460017066,0.017681664460017066,2
NVDA,corr,3,10,tanh,0.0,0.012595347267253976,0.012595347267253976,4
NVDA,corr,3,10,relu,1.0,0.00047838580919923324,0.00047838580919923324,4
NVDA,corr,3,10,selu,1.0,0.00019553410695372087,0.00019553410695372087,4
NVDA,corr,3,20,tanh,1.0,0.0025244114442306564,0.0025244114442306564,4
NVDA,corr,3,20,relu,1.0,0.005563015911118407,0.005563015911118407,4
NVDA,corr,3,20,selu,1.0,0.001738160987063031,0.001738160987063031,4
NVDA,corr,3,40,tanh,1.0,0.004376445104046445,0.004376445104046445,4
NVDA,corr,3,40,relu,1.0,0.003989756711437087,0.003989756711437087,4
NVDA,corr,3,40,selu,1.0,0.009601826394120883,0.009601826394120883,4
NVDA,corr,3,60,tanh,1.0,0.004073283773525338,0.004073283773525338,4
NVDA,corr,3,60,relu,1.0,0.00440600016029058,0.00440600016029058,4
NVDA,corr,3,60,selu,1.0,0.0039469093537467526,0.0039469093537467526,4
NVDA,corr,5,10,tanh,1.0,0.005701334819807391,0.005701334819807391,6
NVDA,corr,5,10,relu,1.0,0.001769384230808635,0.001769384230808635,6
NVDA,corr,5,10,selu,1.0,0.00234052245630445,0.00234052245630445,6
NVDA,corr,5,20,tanh,1.0,0.006704435356571059,0.006704435356571059,6
NVDA,corr,5,20,relu,1.0,0.005905729391290526,0.005905729391290526,6
NVDA,corr,5,20,selu,1.0,0.00799500234299777,0.00799500234299777,6
NVDA,corr,5,40,tanh,1.0,0.001237503391368966,0.001237503391368966,6
NVDA,corr,5,40,relu,1.0,0.00585960470946012,0.00585960470946012,6
NVDA,corr,5,40,selu,1.0,0.003878473908318858,0.003878473908318858,6
NVDA,corr,5,60,tanh,1.0,0.002540377572788577,0.002540377572788577,6
NVDA,corr,5,60,relu,0.0,0.016485650696470122,0.016485650696470122,6
NVDA,corr,5,60,selu,1.0,0.006865773255615215,0.006865773255615215,6
NVDA,corr,10,10,tanh,1.0,0.0029680287918585346,0.0029680287918585346,10
NVDA,corr,10,10,relu,1.0,0.004865620423718076,0.004865620423718076,10
NVDA,corr,10,10,selu,1.0,0.006643502645804267,0.006643502645804267,10
NVDA,corr,10,20,tanh,1.0,0.0025725072702902363,0.0025725072702902363,10
NVDA,corr,10,20,relu,1.0,0.004290447431938071,0.004290447431938071,10
NVDA,corr,10,20,selu,0.0,0.010694256772896926,0.010694256772896926,10
NVDA,corr,10,40,tanh,0.0,0.017740121249719243,0.017740121249719243,10
NVDA,corr,10,40,relu,1.0,0.00859066857831059,0.00859066857831059,10
NVDA,corr,10,40,selu,1.0,0.0044316618225115345,0.0044316618225115345,10
NVDA,corr,10,60,tanh,0.0,0.014282138225300889,0.014282138225300889,10
NVDA,corr,10,60,relu,0.0,0.024992832121117692,0.024992832121117692,10
NVDA,corr,10,60,selu,1.0,0.0035189745469528244,0.0035189745469528244,10
NVDA,rf,3,10,tanh,1.0,0.005094925545765738,0.005094925545765738,4
NVDA,rf,3,10,relu,1.0,0.004534666099264006,0.004534666099264006,4
NVDA,rf,3,10,selu,1.0,0.0018748223303395317,0.0018748223303395317,4
NVDA,rf,3,20,tanh,1.0,0.0033063503435390995,0.0033063503435390995,4
NVDA,rf,3,20,relu,1.0,0.0011294355137783096,0.0011294355137783096,4
NVDA,rf,3,20,selu,1.0,0.003657151617719512,0.003657151617719512,4
