fs_method,top_k,n_past,activation,RMSE,MAE,MAPE
rf,3,60,tanh,0.020758812507943262,0.01423758842817241,141.74105608984001
corr,5,10,relu,0.020763393922015382,0.013123324129335465,235.83263484979207
corr,10,10,selu,0.020809442532100778,0.01565345809132433,198.17854356720025
rf,5,20,relu,0.02082477829756463,0.017243392558062585,166.85732871139024
corr,10,40,relu,0.02090398665330725,0.015562675667143649,141.5120202054132
mi,10,10,relu,0.02091138786353294,0.015360571670226239,261.7974189977398
mi,10,40,relu,0.020954877115962823,0.013553106264396656,158.64684994960646
corr,5,40,selu,0.02098819984352019,0.015618242099660059,149.93382087688633
mi,3,20,tanh,0.02100953505057607,0.012941006423685345,182.78023456643666
mi,5,20,tanh,0.021033126171043557,0.014043160900443693,138.80108818363962
corr,3,10,relu,0.021070680274379427,0.013440830523468006,179.52290982226745
corr,5,60,selu,0.021073904613791574,0.016174274826149592,161.2168915436079
corr,3,40,relu,0.021128231128538205,0.014668879185712419,184.86746722565059
rf,3,20,tanh,0.021138671520476222,0.013736485793290006,153.4099352623298
mi,10,10,tanh,0.021185770435427322,0.016005573417510334,187.6619792715334
rf,5,40,relu,0.02119748910141643,0.016112326119248184,177.3190426994228
rf,5,10,relu,0.02121493826844624,0.014663942502225615,212.34190858428627
manual,3,20,tanh,0.021261889508691678,0.013317717066135595,149.8669539600382
mi,5,40,selu,0.02131889928009963,0.01586048911698564,184.73645634103525
mi,3,60,selu,0.021370319252593584,0.016289957075969055,150.3492698336036
corr,10,10,relu,0.021564551373246078,0.016105614379388716,165.3616810629283
corr,3,60,relu,0.02169239666600457,0.014532809681138771,225.14786273561788
mi,5,40,relu,0.02179053712821055,0.015293466402890424,155.60146164736057
corr,5,60,relu,0.02189770908582522,0.016645171947018044,188.6851228150902
rf,10,40,relu,0.02195369227366577,0.01710675343799032,191.13222400745647
mi,5,60,relu,0.022023471119279367,0.01696315421195608,143.55467666661787
mi,3,40,relu,0.02244184655626862,0.016793725603634655,157.03766549974628
mi,5,60,selu,0.022693095223086327,0.017687841434947348,279.72219066977925
corr,10,10,tanh,0.023769140094967705,0.015981513385736158,230.81589433716792
corr,10,40,selu,0.025606636116701664,0.019639991418231865,204.1950541336981
mi,3,60,relu,0.026070872583821635,0.02011694697904058,226.3307010654578
mi,10,60,relu,0.02979727580729353,0.022427064394097553,237.44976686589766
